singer,song,low,high,super_high
back number,ヒーロースーツ,2mid1C#,3hiA,3hiA
flumpool,証,2mid1A#,3hiA,3hiC
flumpool,Over the rain～ひかりの橋～,2mid1C#,3hiA#,
flumpool,花になれ,2mid1E,3hiA,
flumpool,素晴らしき嘘,2mid1A#,hiB,
flumpool,残像,1lowG,2mid2G,
flumpool,未来,2mid1E,2mid2G,
flumpool,LOST,2mid1D,3hiA,3hiA
flumpool,夜は眠れるかい,2mid1B,2mid2G,3hiB
flumpool,reboot ～あきらめない詩～,2mid1F#,3hiA,
flumpool,labo,2mid1C#,2mid2G,
flumpool,星に願いを,2mid1F#,3hiA,
flumpool,388859,2mid1B,2mid2G#,
flumpool,今年の桜,2mid1D#,2mid2G#,2mid2G#
flumpool,大切なものは君以外に見当たらなくて,2mid1D,3hiA#,3hiA#
flumpool,強く儚く,2mid1D#,2mid2G#,
flumpool,two of us,2mid1C,2mid2G,
flumpool,僕はここにいる,2mid1A,2mid2G#,3hiA
flumpool,明日キミが泣かないように,2mid1D#,2mid2G#,3hiB
flumpool,Hello,2mid1E,3hiA,
flumpool,for no one,2mid1F,2mid2G#,
flumpool,流れ星,2mid1B,2mid2F#,
flumpool,春風,2mid1A,3hiA,
flumpool,ネバーマインド,2mid1G#,hiA,
まふまふ,女の子になりたい,2mid1D#,3hiE,
まふまふ,廃墟の国のアリス,2mid1F#,3hihiA,
まふまふ,拝啓、桜舞い散るこの日に,2mid1F,3hiF,
まふまふ,終点,2mid1A#,3hihiA#,
まふまふ,サクリファイス,2mid1G,3hiG,3hiG
まふまふ,ジグソーパズル,2mid1A#,3hiC#,
まふまふ,携帯電話,2mid1G#,3hiC#,3hiC#
まふまふ,悔やむと書いてミライ,2mid1G,3hiD,
まふまふ,輪廻転生,2mid1D,3hiG,
まふまふ,夢のまた夢,2mid1G,3hiG,
まふまふ,アルターエゴ,2mid1E,3hiG,
まふまふ,それを愛と呼ぶだけ,2mid1G,3hiG,3hihiA
まふまふ,立ち入り禁止,2mid1G,3hiF,3hiF
Mr.Children,HANABI,1lowG#,3hiA,
Mr.Children,足音 〜Be Strong,2mid1D,3hiA#,
Mr.Children,雨のち晴れ,2mid1D#,3hiA#,
Mr.Children,いつの日にか二人で,2mid1C,2mid2G#,
Mr.Children,祈り 〜涙の軌道,2mid1A,3hiA#,3hiC
Mr.Children,innocent world,2mid1C#,3hiB,3hiC#
Mr.Children,彩り,2mid1B,3hiA,
Mr.Children,終わりなき旅,2mid1B,3hiC#,
Mr.Children,秋がくれた切符,2mid1A#,2mid2F,2mid2G#
Mr.Children,空風の帰り道,2mid1A,2mid2F,
Mr.Children,擬態,2mid1C,3hiA#,
Mr.Children,CROSS ROAD,2mid1D,3hiA,3hiD
Mr.Children,ヒカリノアトリエ,1lowG#,3hiA,
Mr.Children,くるみ,2mid1E,2mid2G#,3hiF
Mr.Children,himawari,2mid1A,3hiA,
Mr.Children,エソラ,2mid1A#,3hiA#,3hiA#
Mr.Children,Sign,2mid1A,3hiB,
Mr.Children,GIFT,2mid1A,3hiB,3hiB
Mr.Children,シーソーゲーム 〜勇敢な恋の歌〜,2mid1B,3hiB,
Mr.Children,しるし,2mid1C,3hiB,3hiA#
Mr.Children,ストレンジカメレオン,2mid1E,3hiD,
Mr.Children,抱きしめたい,2mid1D,3hiA,3hiB
Mr.Children,turn over?,2mid1C,2mid2G#,2mid2G#
Mr.Children,旅立ちの唄,2mid1A#,2mid2G#,
Mr.Children,掌,2mid1C,3hiB,3hiC
Mr.Children,Birthday,1lowG#,3hiA,
Mr.Children,SINGLES,2mid1B,3hiC,
Mr.Children,Tomorrow never knows,2mid1F,3hiB,
Mr.Children,REM,2mid1F#,3hiD,3hiB
Mr.Children,未完,2mid1F#,3hiB,3hiB
Mr.Children,車の中でかくれてキスをしよう,2mid1D,2mid2G,
Mr.Children,Drawing,1lowE,3hiA,
